Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,813.550255989624,747.688045492413,926.507941011646,966.962032055781,971.633503046666,1076.08735260871,1121.83447077749,1286.94984312675,1333.74726661897,1570.69814517949,1765.53802830615,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512663,2201.72290691677,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1160.42047054038,1326.41652388077,1479.83884572006,1908.69900687608,2446.90949947798,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4280.93316338873,4542.92903556739,4793.59751131525,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3976.92608302033,4451.00052366076,4840.34788189156,5169.84251077849,5595.55058025696,6014.32682283942,6754.35679524856,7584.97068697555,8469.2601248565,9025.92610692288,9755.92875964596,10273.466834566,10608.7912525106,10882.0580778366,11787.8718109894,12389.9319096915,13055.5587533643,14110.5165425803,15054.9984743848,16441.8041908551,16287.6432648867,18212.8532699363,22032.4608490664,24128.8445370664,26693.1934374653
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4960.30334332888,5370.477235078,5752.99076651465
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9186.81590342899,9543.52035384959,10080.182500398,10802.7506703127,11431.6856715426,12246.2692243613,12791.3412605973,13320.964120903,13666.2181960534,13651.4472995041,14201.3659906969,14639.8779436268,14441.3293398806,14370.820661674,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944370321,16824.4879034627,17620.7423956126
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,8972.69636535698,9197.66196836987,8958.42866697173,8831.26975996609,8745.16621137404,9231.37240924563,10030.8089130902,12156.0293905777,10375.1720141957,10383.459331451,11745.4899153958,11813.5022034589,12026.3344929488,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571,18017.4589383973,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,21810.2503808666,23511.2969500881,26528.1300628236,34063.575598394,39021.1107100919,40829.8116399538,43467.1963063068,48336.2548304926,49132.4925840057,43975.0000888133,42746.830391567,46657.1495384811,41500.5499988288,42470.3230369366,44369.6712976777,38654.95287916,40129.8385811474,40672.9717424447,42819.7577456133,41257.816459345,37361.1070081615,42425.7066454357,42414.0479861228,46812.4261013102,49303.6491674336
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33458.1181625074,36895.4402454079,38787.0522534918,41147.8806955474,42717.2377735456,44577.8193343081,46852.6583902384,47501.4309292019,44838.9949992176,42522.9945639501,43853.1712385354,46436.1158596161,45503.0444832658,45609.2307224247,48505.6017361608,50733.2390011704,53110.1426263211,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.0759483848,71730.668682165,74939.4746038578
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,563.733795571487,533.586202412447,999.065855913758,1133.66331960607,1451.47117872493,2145.88621096327,2930.4442860732,3515.05678986535,4578.15526451517,3645.14846562976,4101.63715566712,5184.15269149912,5702.45306277434,5688.57916215215,5649.68762469139,3641.72893919944,2051.81462126253,2790.71886869768,2860.0936483682,2493.67884440177,1759.35619918264,2303.90812662776,3682.1131513698,2916.13663284275,2665.87444776753
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3689.53780847244,3801.63313374818,4241.2915015658,4322.19773214742,4770.68802563462,5415.61212018099,6017.8181625251,6727.96328856831,7315.60233056666,7227.56364237588,7411.65460883624,7537.59656403345,8246.36081151609,8504.09532072053,9017.69018162269,8067.48584683018,7766.83787525546,8006.83661497696,8278.36886170469,8572.87895610671,7827.42804325818,8862.28133314521,9588.24129511188,9753.60046763783,10118.6089945408
